bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_T1w	0.7519227642276424	1.1338008556287071	0.5774	6268.8111	3.2975107317441044	3.403783536214642	3.4429617835469197	3.045786875470752	0.27253268766952554	0.36637644136199676	0.36109087096847775	0.7714148163795471	0.2876555025577545	0.0	0.0019291390657155444	7.45686271768921	7.325029617081604	7.430789395755837	176	192	192	1.8899335644781827	4.266086222964294	4.988536004086456	8.809588224816894	2.8474007240061674	5.167776121203995	4.994540944336439	6.9684459877991545	1.1999999284744263	1.2447916269302368	1.2447916269302368	305.5848	0.0	13.5964	0.0	1750916.0	0.0	39.0	89.502	-0.9304	159.9861	402.0029	389.0	233432.6955537977	96.0	740.0	205.8269	0.1021	97.4278	714.7634	706.0	313812.779765508	446.0	1002.0	165.491	-0.239	87.5452	938.7177	952.0	309285.5248697774	740.0	1096.0	108.0639	0.21088514900481423	0.547042222724621	0.5583768928217321	0.4197455183497326
sub-02_T1w	0.673464705882353	1.4485596960398062	0.5803	6983.6618	3.2301554358231854	3.3080085305060067	3.352553077732009	3.0299046992315413	0.27041105207773275	0.37489241764128134	0.35469653028098597	0.7895466089248657	0.33071491718292234	0.0	0.00311627448388043	6.960233722222819	6.851428576389343	6.970211066824164	176	192	192	2.02515904873596	4.474112653894745	4.920929829440113	8.263517785689634	6.72395084511428	10.624495146042223	10.804018105499159	15.063608325340974	1.1999999284744263	1.2447916269302368	1.2447916269302368	794.7912	0.0	8.9314	0.0	1638482.0	0.0	37.0	40.1425	-0.7428	144.0983	407.7764	412.0	247280.90201948222	82.0	724.0	203.4404	-0.7164	95.9621	660.8428	651.0	342825.24505674327	433.0	927.0	145.5035	-0.1436	87.2203	907.3112	923.0	324356.85330586875	697.0	1066.0	111.6956	0.22101582579318746	0.5566042208074964	0.5652921434240382	0.4221326187956876
sub-03_T1w	0.7958514893617021	1.1044620642953396	0.5587	-1.0	3.338688660099594	3.457450206080091	3.4345668041994357	3.1240489700192557	0.27383283172109835	0.36323024017960115	0.36293692809930045	0.8134129643440247	0.3187027335166931	0.0	0.003366445564050901	8.031912231872273	7.881204842433694	7.978156362437413	176	192	192	1.6329352061477644	3.8956910905183744	4.407690606025605	7.694445521410676	15.544598703207656	33.4355519276542	31.301021078471603	44.92291260455295	1.1999999284744263	1.2447916269302368	1.2447916269302368	17.2799	0.0	6.305	0.0	1834930.0	0.0	34.0	13.4023	-1.0081	164.7905	344.5692	318.0	218312.95129894884	75.0	686.0	194.7409	1.3429	89.9316	689.0234	684.0	289584.9458088374	394.0	988.0	175.5783	-0.2593	97.0935	904.0363	919.0	289351.10304608464	689.0	1078.0	119.4366	0.20778907861761833	0.5485795519591699	0.5660205317829757	0.4154279192911367
sub-04_T1w	0.7947669527896996	0.9074954414215838	0.5918	-1.0	2.849199297275467	2.9121085069085266	2.988114572374498	2.6473748125433763	0.2657991703576383	0.37033317238459174	0.36386765725777004	0.8585143089294434	0.318468302488327	0.0	0.0027585713501405602	7.107985619392772	6.950094748816395	7.071475442666671	176	192	192	1.9395698786921678	3.606907400225218	4.159803219970932	6.93293238099541	2.4788810871292584	4.042937011151291	3.9799813010019762	5.418125804725379	1.1999999284744263	1.2447916269302368	1.2447916269302368	198.7277	0.0	16.1678	0.0	1776133.0	0.0	39.0	111.0006	-0.4052	164.6557	424.9244	420.0	237691.17390586354	97.0	768.0	216.5424	22.9044	84.1047	694.227	685.0	331170.8097581222	377.0	1010.0	189.9131	0.154	101.076	901.0289	918.0	325389.0163900971	666.0	1092.0	132.4113	0.24944784689737937	0.5461405007130009	0.5614864662776085	0.37346309716344556
sub-05_T1w	0.7126305343511451	1.2514788690995418	0.6026	10173.3766	3.129233186060686	3.191658523571006	3.2654541628177323	2.9305868717933197	0.2718766961386437	0.3714456518825293	0.3566776519788271	0.7640537023544312	0.28500150442123406	0.0	0.0032622797842118936	7.06564971218947	6.935533875227021	7.057131702962262	176	192	192	2.0545096049958396	4.043916030633303	4.582481480153846	7.6490188048323935	4.37612730999862	7.28982431997219	7.293545516664366	10.214684920022288	1.1999999284744263	1.2447916269302368	1.2447916269302368	340.7757	0.0	10.3205	0.0	1605929.0	0.0	40.0	58.6851	-0.8336	144.3774	397.3333	392.0	244978.03149281847	106.0	702.0	190.7994	-0.4599	94.4357	660.9387	653.0	334695.9334769365	398.0	950.0	161.4769	-0.3228	92.2735	896.0845	915.0	321389.0351775317	673.0	1064.0	119.623	0.2363432999804897	0.5455509252933569	0.5599918309244842	0.5473865040314277
sub-06_T1w	0.6983605166051661	1.2439319543597853	0.6123	11591.7293	3.142898158724471	3.2048335243562973	3.292117259903186	2.93174369191393	0.27320938344834816	0.36876664414687066	0.35802397240478123	0.811922550201416	0.31395114958286285	0.0	0.002345255329830167	7.042481387329384	6.910917308722885	7.034393359074463	176	192	192	1.9953239475275375	3.8051109810509085	4.545447715299151	7.835908217319005	5.7045250752756775	9.72527175683131	9.69624109487062	13.658926452504868	1.1999999284744263	1.2447916269302368	1.2447916269302368	454.98	0.0	8.7003	0.0	1579846.0	0.0	37.0	45.1341	-0.8723	149.1353	398.9478	393.0	246933.19781501708	99.0	714.0	196.9601	1.0105	94.8854	677.9936	670.0	333300.14341881045	386.0	988.0	176.0787	-0.3115	94.3703	921.5625	941.0	323590.65887304017	696.0	1090.0	120.088	0.23274340409317582	0.5446306075473649	0.5574772041181106	0.566243214437371
sub-07_T1w	0.7257286274509804	1.3051350575668954	0.5592	6838.1623	3.0653553782027636	3.175725189287972	3.205355750857421	2.8149851944628983	0.2720455145003122	0.3735334314104766	0.35442105408921115	0.7792666554450989	0.29251610040664666	0.0	0.0029199717061288966	8.333583133010974	8.201701513996971	8.316867058389244	176	192	192	2.024364699272686	4.425482825467122	4.519683021201069	7.109201538863399	18.882466399393216	30.855559128833022	30.887108780294	42.923300812655754	1.1999999284744263	1.2447916269302368	1.2447916269302368	31.7946	0.0	6.9881	0.0	1820614.0	0.0	36.0	13.8435	-0.8109	140.8503	400.4295	399.0	208517.17394074495	90.0	711.0	197.0984	-0.6249	91.047	660.5111	652.0	286305.531018091	426.0	929.0	147.3283	-0.1713	94.0138	886.5201	907.0	271656.2951590124	651.0	1066.0	127.5809	0.2231988736940044	0.5554640750389971	0.5672594115403797	0.41100929036390077
sub-08_T1w	0.6701266187050361	1.225897455744743	0.5905	5980.4444	3.1083335946565906	3.208025191213202	3.243980689328906	2.8729949034276636	0.27313669112464906	0.36866057974753913	0.35820272912781187	0.8160235285758972	0.2923242688179015	0.0	0.0016751615475538366	6.7804931349473705	6.657825286016037	6.786460810134942	176	192	192	2.016429245090256	3.7214536935850857	4.6569020137106705	8.232823102456669	3.460773570164306	5.716685230715853	5.756562457038734	8.092228570236044	1.1999999284744263	1.2447916269302368	1.2447916269302368	381.7218	0.0	12.4829	0.0	1812992.0	0.0	40.0	76.6679	-0.6687	152.2413	408.6698	405.0	255988.3503323124	102.0	726.0	200.8497	3.9244	95.2278	678.4364	669.0	345514.9626860579	381.0	992.0	179.7682	-0.001	91.0674	931.0916	947.0	335713.6872984755	715.0	1095.0	115.0272	0.22940305608039083	0.5398525912567774	0.5531102965337192	0.4173440071085643
sub-11_T1w	0.7005205035971223	1.1813195966523526	0.5997	-1.0	3.164862145793484	3.188575190053892	3.3228131604646554	2.9831980868619046	0.2725869084407074	0.3707301350790373	0.3566829564802554	0.816193550825119	0.34332037568092344	0.0	0.0027250242845811095	6.63318034520618	6.504943647169819	6.626396447617921	176	192	192	1.8984865993828293	3.7935361897013156	4.336432237250132	7.317273922666252	2.280801429292852	4.0227321912253045	4.0227321912253045	5.764662953157758	1.1999999284744263	1.2447916269302368	1.2447916269302368	207.3416	0.0	14.1922	0.0	1609366.0	0.0	35.0	104.5552	-0.8832	146.0696	373.7202	364.0	261393.94483418914	85.0	683.0	191.7313	-0.1288	97.5368	649.6608	642.0	355507.21431033185	370.0	953.0	169.235	-0.084	97.2079	899.8249	920.0	342036.84095773665	665.0	1075.0	125.7297	0.23632010698039677	0.5504312761487219	0.5680032175349949	0.4047659135613368
sub-12_T1w	0.732894	1.306999336039229	0.5973	6082.0623	2.986492104212155	3.078050183466088	3.091513404127094	2.789912725043284	0.26820580570741354	0.37486767984385605	0.3569265144487304	0.8055918216705322	0.36118087768554685	0.0	0.0036995672721695408	7.898764322619691	7.773277278572262	7.8986704454462435	176	192	192	2.2875584364430552	4.55005878704009	4.757532434982497	7.434980081464343	9.964511474020247	14.711649524564724	14.995283559031217	20.309689678508683	1.1999999284744263	1.2447916269302368	1.2447916269302368	757.587	0.0	8.6078	0.0	1685477.0	0.0	38.0	29.2574	-0.5016	142.2884	437.8228	445.0	216313.07822954713	120.0	740.0	194.5301	-0.6666	91.6541	664.3119	657.0	302337.90630264295	435.0	923.0	144.3935	-0.1636	91.5694	890.2613	907.0	287868.0155282473	667.0	1066.0	121.9907	0.23859635620005631	0.552955437951931	0.5709456535920339	0.3813097625296647
