trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.131531	0.02738
0.028	0.033	0.0037	2.268928027592628e-05	-2.268928027592628e-05	-1.3962634015954635e-05	0.98663712	57.5163002	0.93174574	0.06766705972839035	0.129619	0.02548
0.0164	-0.051	0.1108	-0.0003298672286269283	-0.00014137166941154068	7.504915783575618e-05	0.99236262	57.85006714	0.9634503	0.23071253449450896	0.129157	0.02632
0.0096	-0.0587	0.1194	-0.0004799655442984406	-0.00020769418098732522	2.4434609527920616e-05	0.99913925	58.24511337	0.931906	0.03645176877775664	0.130231	0.02704
-0.0084	0.0486	0.0017	-0.000317649923862968	-0.0007871434926494425	-0.0004886921905584122	1.02202249	59.57909775	0.98546277	0.30574458660919607	0.135711	0.0284
0.0025	0.0157	0.0125	-0.0004974188368183839	-0.0008482300164692441	-0.000450294947014537	0.97299868	56.721241	0.92292227	0.06856263401595464	0.133996	0.02776
-0.0035	-0.0619	0.1192	-0.0006579891280018621	-0.0007016223593017205	-0.00019547687622336493	1.02039075	59.48397446	0.97247729	0.21839980095710873	0.134583	0.02844
0.0046	-0.0285	0.0704	-0.0004380776422505767	-0.0006806784082777885	-0.0001937315469713706	1.04266381	60.78239441	0.96384724	0.10243003830136056	0.132502	0.02672
0.02	0.0351	0.0124	-0.00024085543677521747	-0.0006370451769779302	-0.000296705972839036	1.01317275	59.06319809	0.94484184	0.15419149313214417	0.133696	0.02649
-0.0107	-0.0372	0.1045	-0.00029845130209103034	-0.0005201081170943102	-0.00015707963267948963	1.00248456	58.44012833	0.96104951	0.21080796326794893	0.131845	0.0268
-0.0019	-0.067	0.0958	-0.0004939281783143952	-0.0006056292504420323	-7.504915783575618e-05	1.017115	59.29301453	0.94735272	0.06545142422074103	0.132273	0.02734
0.0343	0.0356	0.0048	-7.67944870877505e-05	-0.0007609635538695277	-7.504915783575618e-05	1.03529608	60.35289001	0.97255822	0.258423399732707	0.133947	0.02679
0.0129	-0.0328	0.0827	-0.00029321531433504735	-0.0007225663103256524	-0.0001064650843716541	0.99930817	58.25496292	0.95227514	0.1820116998663535	0.132927	0.02755
